"region","sexo","edad","educ","ingreso","univ","genero"
7,1,7,1,NA,NA,"Hombre"
13,1,12,1,NA,NA,"Hombre"
8,1,63,5,678333,0,"Hombre"
8,2,41,5,450000,0,"Mujer"
13,1,60,6,380000,0,"Hombre"
8,1,19,9,NA,NA,"Hombre"
9,2,46,5,120000,0,"Mujer"
6,2,41,11,1200000,1,"Mujer"
6,2,52,5,NA,0,"Mujer"
8,2,40,0,NA,0,"Mujer"
8,2,72,1,110000,0,"Mujer"
6,1,49,5,450000,0,"Hombre"
6,1,32,11,650000,1,"Hombre"
12,1,33,2,200000,0,"Hombre"
7,2,6,1,833,NA,"Mujer"
1,1,2,0,NA,NA,"Hombre"
4,2,6,0,NA,NA,"Mujer"
13,1,31,5,NA,0,"Hombre"
13,2,16,3,NA,NA,"Mujer"
2,2,17,5,NA,NA,"Mujer"
13,2,29,7,432250,0,"Mujer"
14,2,60,2,80000,0,"Mujer"
15,1,18,4,NA,NA,"Hombre"
12,2,67,2,NA,0,"Mujer"
2,2,7,1,NA,NA,"Mujer"
2,1,35,5,700000,0,"Hombre"
13,1,55,6,280000,0,"Hombre"
7,1,26,7,287000,NA,"Hombre"
13,2,67,3,NA,0,"Mujer"
11,1,36,11,1091667,1,"Hombre"
16,1,64,3,207167,0,"Hombre"
15,2,61,1,8333,0,"Mujer"
2,1,29,99,208791,NA,"Hombre"
4,2,27,11,400000,1,"Mujer"
14,1,18,6,NA,NA,"Hombre"
1,1,70,1,123000,0,"Hombre"
13,1,38,3,325000,0,"Hombre"
8,2,17,3,NA,NA,"Mujer"
14,2,17,3,NA,NA,"Mujer"
9,2,44,5,NA,0,"Mujer"
4,2,84,1,NA,0,"Mujer"
5,1,66,11,1049000,1,"Hombre"
5,1,68,11,1305833,1,"Hombre"
9,1,67,1,84167,0,"Hombre"
6,1,47,8,530000,0,"Hombre"
5,2,27,5,383333,NA,"Mujer"
4,1,4,0,NA,NA,"Hombre"
10,1,29,5,700000,0,"Hombre"
15,2,8,1,26000,NA,"Mujer"
8,1,83,5,NA,0,"Hombre"
13,2,70,2,180002,0,"Mujer"
13,2,13,1,NA,NA,"Mujer"
10,2,24,8,NA,NA,"Mujer"
6,1,18,5,NA,NA,"Hombre"
6,2,65,5,200000,0,"Mujer"
1,2,58,5,173333,0,"Mujer"
16,2,30,3,160000,0,"Mujer"
1,1,10,1,NA,NA,"Hombre"
10,2,56,5,8333,0,"Mujer"
16,2,19,9,55000,NA,"Mujer"
13,1,54,0,326250,0,"Hombre"
13,2,80,5,65000,0,"Mujer"
13,1,46,11,300000,1,"Hombre"
16,2,10,1,NA,NA,"Mujer"
13,1,24,5,NA,NA,"Hombre"
7,1,54,11,500000,1,"Hombre"
13,2,3,0,NA,NA,"Mujer"
9,1,49,9,824167,0,"Hombre"
14,1,44,1,81667,0,"Hombre"
6,1,68,8,3675000,0,"Hombre"
13,1,1,0,NA,NA,"Hombre"
8,1,44,5,685416,0,"Hombre"
16,1,50,0,200000,0,"Hombre"
3,2,38,9,260000,0,"Mujer"
1,1,12,1,NA,NA,"Hombre"
8,2,60,1,NA,0,"Mujer"
13,1,80,5,300000,0,"Hombre"
5,1,11,1,NA,NA,"Hombre"
9,1,27,6,800000,NA,"Hombre"
2,1,14,2,NA,NA,"Hombre"
9,2,4,0,NA,NA,"Mujer"
4,2,50,1,NA,0,"Mujer"
15,2,35,5,350000,0,"Mujer"
10,1,32,6,280000,0,"Hombre"
8,1,27,6,1083333,NA,"Hombre"
5,1,3,0,NA,NA,"Hombre"
8,2,51,5,266500,0,"Mujer"
